month,date,rate
September 2012,Sep 2012,7.8
August 2012,Aug 2012,8.1
July 2012,Jul 2012,8.3
June 2012,Jun 2012,8.2
May 2012,May 2012,8.2
April 2012,Apr 2012,8.1
March 2012,Mar 2012,8.2
February 2012,Feb 2012,8.3
January 2012,Jan 2012,9
December 2011,Dec 2011,9
November 2011,Nov 2011,8.6
October 2011,Oct 2011,9
September 2011,Sep 2011,9.1
August 2011,Aug 2011,9.1
July 2011,Jul 2011,9.1
June 2011,Jun 2011,9.2
May 2011,May 2011,9.1
April 2011,Apr 2011,9
March 2011,Mar 2011,8.8
February 2011,Feb 2011,8.9
January 2011,Jan 2011,9
December 2010,Dec 2010,9.4
November 2010,Nov 2010,9.8
October 2010,Oct 2010,9.7
September 2010,Sep 2010,9.6
August 2010,Aug 2010,9.6
July 2010,Jul 2010,9.5
June 2010,Jun 2010,9.5
May 2010,May 2010,9.6
April 2010,Apr 2010,9.8
March 2010,Mar 2010,9.7
February 2010,Feb 2010,9.7
January 2010,Jan 2010,9.7
December 2009,Dec 2009,9.9
November 2009,Nov 2009,9.9
October 2009,Oct 2009,10.1
September 2009,Sep 2009,9.8
August 2009,Aug 2009,9.7
July 2009,Jul 2009,9.5
June 2009,Jun 2009,9.5
May 2009,May 2009,9.4
April 2009,Apr 2009,8.9
March 2009,Mar 2009,8.5
February 2009,Feb 2009,8.1
January 2009,Jan 2009,7.6
