code,name,indicator,value,year
LMY,Low & middle income,EN.ATM.CO2E.KT,14498599.94,2006
LMY,Low & middle income,EN.ATM.METH.KT.CE,5596645.40,2006
LMY,Low & middle income,EN.ATM.NOXE.KT.CE,2039506.20,2006
LMY,Low & middle income,EN.ATM.GHGO.KT.CE,264291.20,2006
ECA,Europe & Central Asia,EN.ATM.CO2E.KT,2873631.77,2006
ECA,Europe & Central Asia,EN.ATM.METH.KT.CE,936607.80,2006
ECA,Europe & Central Asia,EN.ATM.NOXE.KT.CE,214402.40,2006
ECA,Europe & Central Asia,EN.ATM.GHGO.KT.CE,75691.50,2006
LIC,Low income,EN.ATM.CO2E.KT,205263.99,2006
LIC,Low income,EN.ATM.METH.KT.CE,436332.70,2006
LIC,Low income,EN.ATM.NOXE.KT.CE,209159.20,2006
LIC,Low income,EN.ATM.GHGO.KT.CE,..,2006
WLD,World,EN.ATM.CO2E.KT,29205744.00,2006
WLD,World,EN.ATM.METH.KT.CE,7135849.60,2006
WLD,World,EN.ATM.NOXE.KT.CE,2852536.90,2006
WLD,World,EN.ATM.GHGO.KT.CE,724182.60,2006
MIC,Middle income,EN.ATM.CO2E.KT,14293789.90,2006
MIC,Middle income,EN.ATM.METH.KT.CE,5160312.70,2006
MIC,Middle income,EN.ATM.NOXE.KT.CE,1830347.00,2006
MIC,Middle income,EN.ATM.GHGO.KT.CE,260797.90,2006
SID,Small island developing states,EN.ATM.CO2E.KT,216303.80,2006
SID,Small island developing states,EN.ATM.METH.KT.CE,33275.00,2006
SID,Small island developing states,EN.ATM.NOXE.KT.CE,12001.30,2006
SID,Small island developing states,EN.ATM.GHGO.KT.CE,..,2006
NME,North America,EN.ATM.CO2E.KT,6158154.45,2006
NME,North America,EN.ATM.METH.KT.CE,637411.5,2006
NME,North America,EN.ATM.NOXE.KT.CE,357324.0,2006
NME,North America,EN.ATM.GHGO.KT.CE,261459.7,2006
LAC,Latin America & Caribbean,EN.ATM.CO2E.KT,1416279.74,2006
LAC,Latin America & Caribbean,EN.ATM.METH.KT.CE,1008556.90,2006
LAC,Latin America & Caribbean,EN.ATM.NOXE.KT.CE,442131.50,2006
LAC,Latin America & Caribbean,EN.ATM.GHGO.KT.CE,20972.20,2006
EMU,Euro area,EN.ATM.CO2E.KT,2735853.36,2006
EMU,Euro area,EN.ATM.METH.KT.CE,317704.40,2006
EMU,Euro area,EN.ATM.NOXE.KT.CE,219189.20,2006
EMU,Euro area,EN.ATM.GHGO.KT.CE,84229.60,2006
HIC,High income,EN.ATM.CO2E.KT,13387488.88,2006
HIC,High income,EN.ATM.METH.KT.CE,1539204.20,2006
HIC,High income,EN.ATM.NOXE.KT.CE,813030.70,2006
HIC,High income,EN.ATM.GHGO.KT.CE,459891.40,2006
UMC,Upper middle income,EN.ATM.CO2E.KT,11071500.15,2006
UMC,Upper middle income,EN.ATM.METH.KT.CE,3455454.10,2006
UMC,Upper middle income,EN.ATM.NOXE.KT.CE,1143809.70,2006
UMC,Upper middle income,EN.ATM.GHGO.KT.CE,243471.00,2006
MNA,Middle East & North Africa,EN.ATM.CO2E.KT,1082102.36,2006
MNA,Middle East & North Africa,EN.ATM.METH.KT.CE,287084.30,2006
MNA,Middle East & North Africa,EN.ATM.NOXE.KT.CE,73538.60,2006
MNA,Middle East & North Africa,EN.ATM.GHGO.KT.CE,6716.90,2006
SAS,South Asia,EN.ATM.CO2E.KT,1602354.32,2006
SAS,South Asia,EN.ATM.METH.KT.CE,846144.70,2006
SAS,South Asia,EN.ATM.NOXE.KT.CE,267721.90,2006
SAS,South Asia,EN.ATM.GHGO.KT.CE,9252.50,2006
EAP,East Asia & Pacific,EN.ATM.CO2E.KT,6892794.56,2006
EAP,East Asia & Pacific,EN.ATM.METH.KT.CE,1928354.70,2006
EAP,East Asia & Pacific,EN.ATM.NOXE.KT.CE,707495.90,2006
EAP,East Asia & Pacific,EN.ATM.GHGO.KT.CE,..,2006
LMC,Lower middle income,EN.ATM.CO2E.KT,3222338.69,2006
LMC,Lower middle income,EN.ATM.METH.KT.CE,1704858.60,2006
LMC,Lower middle income,EN.ATM.NOXE.KT.CE,686537.30,2006
LMC,Lower middle income,EN.ATM.GHGO.KT.CE,17326.90,2006
SSA,Sub-Saharan Africa,EN.ATM.CO2E.KT,644584.53,2006
SSA,Sub-Saharan Africa,EN.ATM.METH.KT.CE,589897.00,2006
SSA,Sub-Saharan Africa,EN.ATM.NOXE.KT.CE,334215.90,2006
SSA,Sub-Saharan Africa,EN.ATM.GHGO.KT.CE,..,2006
