word,d,r,delta,total,counts,ratio1,ratio2
Obama,175,66,109,241,175 - 66,2.651515,0.377143,EurostileBold,Eurostile
Romney,92,109,-17,201,92 - 109,0.844037,1.184783,Eurostile,Eurostile
Jobs,88,80,8,168,88 - 80,1.100000,0.909091,Eurostile,Eurostile
Business,35,86,-51,121,35 - 86,0.406977,2.457143,Eurostile,EurostileBold
Families,66,54,12,120,66 - 54,1.222222,0.818182,Eurostile,Eurostile
Women,69,26,43,95,69 - 26,2.653846,0.376812,EurostileBold,Eurostile
Economy,53,41,12,94,53 - 41,1.292683,0.773585,Eurostile,Eurostile
Leadership,32,53,-21,85,32 - 53,0.603774,1.656250,Eurostile,Eurostile
Government,13,66,-53,79,13 - 66,0.196970,5.076923,Eurostile,EurostileBold
Tax,39,32,7,71,39 - 32,1.218750,0.820513,Eurostile,Eurostile
Better,21,44,-23,65,21 - 44,0.477273,2.095238,Eurostile,EurostileBold
Success,20,44,-24,64,20 - 44,0.454545,2.200000,Eurostile,EurostileBold
God,22,35,-13,57,22 - 35,0.628571,1.590909,Eurostile,Eurostile
Ryan,25,31,-6,56,25 - 31,0.806452,1.240000,Eurostile,Eurostile
Middle class,47,7,40,54,47 - 7,6.714286,0.148936,EurostileBold,Eurostile
Fight,39,11,28,50,39 - 11,3.545455,0.282051,EurostileBold,Eurostile
Health,38,9,29,47,38 - 9,4.222222,0.236842,EurostileBold,Eurostile
Education,33,10,23,43,33 - 10,3.300000,0.303030,EurostileBold,Eurostile
Small business,14,27,-13,41,14 - 27,0.518519,1.928571,Eurostile,Eurostile
Vote,29,11,18,40,29 - 11,2.636364,0.379310,EurostileBold,Eurostile
Forward,33,6,27,39,33 - 6,5.500000,0.181818,EurostileBold,Eurostile
Choice,22,15,7,37,22 - 15,1.466667,0.681818,Eurostile,Eurostile
American dream,17,20,-3,37,17 - 20,0.850000,1.176471,Eurostile,Eurostile
Hope,17,19,-2,36,17 - 19,0.894737,1.117647,Eurostile,Eurostile
Debt,13,21,-8,34,13 - 21,0.619048,1.615385,Eurostile,Eurostile
Medicare,26,7,19,33,26 - 7,3.714286,0.269231,EurostileBold,Eurostile
Energy,20,13,7,33,20 - 13,1.538462,0.650000,Eurostile,Eurostile
Invest,22,7,15,29,22 - 7,3.142857,0.318182,EurostileBold,Eurostile
Freedom,8,21,-13,29,8 - 21,0.380952,2.625000,Eurostile,EurostileBold
War,19,9,10,28,19 - 9,2.111111,0.473684,EurostileBold,Eurostile
Fail,7,17,-10,24,7 - 17,0.411765,2.428571,Eurostile,EurostileBold
Workers,19,4,15,23,19 - 4,4.750000,0.210526,EurostileBold,Eurostile
Spending,7,15,-8,22,7 - 15,0.466667,2.142857,Eurostile,EurostileBold
Oil / Gas,11,10,1,21,11 - 10,1.100000,0.909091,Eurostile,Eurostile
Immigration,10,10,0,20,10 - 10,1.000000,1.000000,Eurostile,Eurostile
Auto,18,1,17,19,18 - 1,18.000000,0.055556,EurostileBold,Eurostile
Veteran,16,2,14,18,16 - 2,8.000000,0.125000,EurostileBold,Eurostile
Unemployment,1,17,-16,18,1 - 17,0.058824,17.000000,Eurostile,EurostileBold
Military,12,5,7,17,12 - 5,2.400000,0.416667,EurostileBold,Eurostile
Biden,11,6,5,17,11 - 6,1.833333,0.545455,Eurostile,Eurostile
Faith,6,11,-5,17,6 - 11,0.545455,1.833333,Eurostile,Eurostile
Regulation,2,14,-12,16,2 - 14,0.142857,7.000000,Eurostile,EurostileBold
Obamacare,4,11,-7,15,4 - 11,0.363636,2.750000,Eurostile,EurostileBold
Fair,13,1,12,14,13 - 1,13.000000,0.076923,EurostileBold,Eurostile
Seniors,11,3,8,14,11 - 3,3.666667,0.272727,EurostileBold,Eurostile
Marry,6,8,-2,14,6 - 8,0.750000,1.333333,Eurostile,Eurostile
Church,1,9,-8,10,1 - 9,0.111111,9.000000,Eurostile,Eurostile
Millionaires,7,0,7,7,7 - 0,1000.000000,0.000000,Eurostile,Eurostile
Equal pay,6,0,6,6,6 - 0,1000.000000,0.000000,Eurostile,Eurostile
Wall Street,5,1,4,6,5 - 1,5.000000,0.200000,Eurostile,Eurostile
Job creators,1,5,-4,6,1 - 5,0.200000,5.000000,Eurostile,Eurostile
bin Laden,5,0,5,5,5 - 0,1000.000000,0.000000,Eurostile,Eurostile
Flag,1,4,-3,5,1 - 4,0.250000,4.000000,Eurostile,Eurostile
Arithmetic,3,0,3,3,3 - 0,1000.000000,0.000000,Eurostile,Eurostile
Science,2,1,1,3,2 - 1,2.000000,0.500000,Eurostile,Eurostile
Red tape,0,3,-3,3,0 - 3,0.000000,1000.000000,Eurostile,Eurostile
Level playing field,2,0,2,2,2 - 0,1000.000000,0.000000,Eurostile,Eurostile
Medicaid,2,0,2,2,2 - 0,1000.000000,0.000000,Eurostile,Eurostile
